0,0/0
9035,0/1
17942,0/2
27883,0/3
37838,0/4
42051,1/0
47936,0/5
49532,1/1
56696,1/2
57459,0/6
63719,1/3
66595,0/7
68698,2/0
70450,1/4
76156,2/1
77402,1/5
83812,2/2
85801,1/6
91660,2/3
93503,3/0
93789,1/7
99324,2/4
100434,3/1
107337,2/5
107903,3/2
114534,2/6
115363,3/3
121030,2/7
122628,3/4
129628,3/5
137460,3/6
145203,3/7
